县名,規範碼,舊規範碼,地名分類,緯度,經度,行政區,屬,BEG,END,年代,朝代
臺登,PL000000037844,CN0513433Z13AA,中研院歷史地名 ,28.3201,102.2099,中國-四川省-涼山彝族自治州-冕寧縣,益州刺史部,24,220,（24 ~ 220）,东汉
闡縣,PL000000037868,CN0513434Z10AA,中研院歷史地名 ,28.6872,102.5852,中國-四川省-涼山彝族自治州-越西縣,益州刺史部,24,220,（24 ~ 220）,东汉
鄨縣,PL000000038064,CN0520302Z10AA,中研院歷史地名 ,27.6946,106.8551,中國-貴州省-遵義市-紅花崗區,益州刺史部,24,220,（24 ~ 220）,东汉
滇池,PL000000039165,CN0530122Z09AA,中研院歷史地名 ,24.7129,102.7478,中國-雲南省-昆明市-晉寧縣,益州刺史部,24,220,（24 ~ 220）,东汉
連然,PL000000039273,CN0530181Z09AA,中研院歷史地名 ,24.918,102.482,中國-雲南省-昆明市-安寧市,益州刺史部,24,220,（24 ~ 220）,东汉
味縣,PL000000039296,CN0530302Z14AA,中研院歷史地名 ,25.4953,103.8048,中國-雲南省-曲靖市-麒麟區,益州刺史部,24,220,（24 ~ 220）,东汉
不韋,PL000000039511,CN0530502Z07AA,中研院歷史地名 ,25.2089,99.2638,中國-雲南省-保山市-隆陽區,益州刺史部,24,220,（24 ~ 220）,东汉
朱提,PL000000039611,CN0530602Z16AA,中研院歷史地名 ,27.3429,103.7234,中國-雲南省-昭通市-昭陽區,益州刺史部,24,220,（24 ~ 220）,东汉
雙柏,PL000000039977,CN0532322Z02AA,中研院歷史地名 ,24.4903,101.6216,中國-雲南省-楚雄彝族自治州-雙柏縣,益州刺史部,24,220,（24 ~ 220）,东汉
梇棟,PL000000040018,CN0532325Z08AA,中研院歷史地名 ,25.5792,101.2219,中國-雲南省-楚雄彝族自治州-姚安縣,益州刺史部,24,220,（24 ~ 220）,东汉
青蛉,PL000000040050,CN0532326Z14AA,中研院歷史地名 ,25.7253,101.3332,中國-雲南省-楚雄彝族自治州-大姚縣,益州刺史部,24,220,（24 ~ 220）,东汉
三縫,PL000000040062,CN0532328Z05AA,中研院歷史地名 ,26.0462,101.924,中國-雲南省-楚雄彝族自治州-元謀縣,益州刺史部,24,220,（24 ~ 220）,东汉
賁古,PL000000040157,CN0532522Z10AA,中研院歷史地名 ,23.3257,103.4315,中國-雲南省-紅河哈尼族彝族自治州-蒙自縣,益州刺史部,24,220,（24 ~ 220）,东汉
楪榆,PL000000040449,CN0532901Z05AA,中研院歷史地名 ,25.8625,100.1257,中國-雲南省-大理白族自治州-大理市,益州刺史部,24,220,（24 ~ 220）,东汉
雲南,PL000000040497,CN0532923Z11AA,中研院歷史地名 ,25.4222,100.7015,中國-雲南省-大理白族自治州-祥雲縣,益州刺史部,24,220,（24 ~ 220）,东汉
博南,PL000000041319,CN0532928Z08AA,中研院歷史地名 ,25.389,99.4541,中國-雲南省-大理白族自治州-永平縣,益州刺史部,24,220,（24 ~ 220）,东汉
長安縣,PL000000042390,CN0610112Z04AA,中研院歷史地名 ,34.306,108.8534,中國-陝西省-西安市-未央區,司隸校尉部,24,220,（24 ~ 220）,东汉
杜陵,PL000000042432,CN0610113Z02AA,中研院歷史地名 ,34.2068,109.0382,中國-陝西省-西安市-雁塔區,司隸校尉部,24,220,（24 ~ 220）,东汉
萬年,PL000000042450,CN0610115Z05AA,中研院歷史地名 ,34.6534,109.2962,中國-陝西省-西安市-臨潼區,司隸校尉部,24,220,（24 ~ 220）,东汉
新豐,PL000000042476,CN0610115Z31AA,中研院歷史地名 ,34.407,109.2369,中國-陝西省-西安市-臨潼區,司隸校尉部,24,220,（24 ~ 220）,东汉
藍田,PL000000042532,CN0610116Z07AA,中研院歷史地名 ,34.15,109.175,中國-陝西省-西安市-長安區,司隸校尉部,24,220,（24 ~ 220）,东汉
鄠縣,PL000000042678,CN0610125Z16AA,中研院歷史地名 ,34.1114,108.6128,中國-陝西省-西安市-戶縣,司隸校尉部,24,220,（24 ~ 220）,东汉
高陵,PL000000042702,CN0610126Z12AA,中研院歷史地名 ,34.5329,109.0895,中國-陝西省-西安市-高陵縣,司隸校尉部,24,220,（24 ~ 220）,东汉
祋栩,PL000000042742,CN0610204Z17AA,中研院歷史地名 ,34.9129,108.9805,中國-陝西省-銅川市-耀州區,司隸校尉部,24,220,（24 ~ 220）,东汉
漆垣,PL000000042765,CN0610222Z15AA,中研院歷史地名 ,35.278,109.0015,中國-陝西省-銅川市-宜君縣,并州刺史部,24,220,（24 ~ 220）,东汉
故道,PL000000042769,CN0610302Z01AA,中研院歷史地名 ,34.2047,107.0936,中國-陝西省-寶雞市-渭濱區,涼州刺史部,24,220,（24 ~ 220）,东汉
陳倉,PL000000042787,CN0610303Z08AA,中研院歷史地名 ,34.373,107.2274,中國-陝西省-寶雞市-金台區,司隸校尉部,24,220,（24 ~ 220）,东汉
雍縣,PL000000042855,CN0610322Z23AA,中研院歷史地名 ,34.5038,107.3789,中國-陝西省-寶雞市-鳳翔縣,司隸校尉部,24,220,（24 ~ 220）,东汉
郿縣,PL000000042897,CN0610324Z11AA,中研院歷史地名 ,34.2788,107.8473,中國-陝西省-寶雞市-扶風縣,司隸校尉部,24,220,（24 ~ 220）,东汉
武功,PL000000042906,CN0610324Z20AA,中研院歷史地名 ,34.2541,108.0342,中國-陝西省-寶雞市-扶風縣,司隸校尉部,24,220,（24 ~ 220）,东汉
