passageId,name,id,oldid,type,JingDu,WeuDu,HangZhengGou,Shu,start,end,dynasty,level
passage61,弘農郡,PL000000025132,CN0411282Z17AA,中研院歷史地名 ,110.9064,34.6474,中國-河南省-三門峽市-靈寶市,司隸校尉部,24,220,東漢,郡
passage62,南陽郡,PL000000025219,CN0411302Z19AA,中研院歷史地名 ,112.5444,33.001,中國-河南省-南陽市-宛城區,荊州刺史部,24,220,東漢,郡
passage63,梁國,PL000000025546,CN0411403Z10AA,中研院歷史地名 ,115.6295,34.3648,中國-河南省-商丘市-睢陽區,豫州刺史部,24,220,東漢,郡
passage64,陳國,PL000000026081,CN0411626Z19AA,中研院歷史地名 ,114.8916,33.7331,中國-河南省-周口市-淮陽縣,豫州刺史部,24,220,東漢,郡
passage65,汝南郡,PL000000026202,CN0411723Z04AA,中研院歷史地名 ,114.5971,33.1639,中國-河南省-駐馬店市-平輿縣,豫州刺史部,24,220,東漢,郡
passage66,江夏郡,PL000000026544,CN0420117Z05AA,中研院歷史地名 ,114.7722,30.8454,中國-湖北省-武漢市-新洲區,荊州刺史部,24,220,東漢,郡
passage67,南郡,PL000000027874,CN0421024Z22AA,中研院歷史地名 ,112.1995,30.3496,中國-湖北省-荊州市-江陵縣,荊州刺史部,24,220,東漢,郡
passage68,長沙郡,PL000000028672,CN0430105Z31AA,中研院歷史地名 ,112.9867,28.1973,中國-湖南省-長沙市-開福區,荊州刺史部,24,220,東漢,郡
passage69,武陵郡,PL000000029424,CN0430702Z24AA,中研院歷史地名 ,111.6999,29.034,中國-湖南省-常德市-武陵區,荊州刺史部,24,220,東漢,郡
passage70,桂陽郡,PL000000029684,CN0431002Z22AA,中研院歷史地名 ,113.0335,25.8017,中國-湖南省-郴州市-北湖區,荊州刺史部,24,220,東漢,郡
passage71,零陵郡,PL000000029845,CN0431102Z25AA,中研院歷史地名 ,111.6209,26.2094,中國-湖南省-永州市-零陵區,荊州刺史部,24,220,東漢,郡
passage72,南海郡,PL000000030471,CN0440104Z29AA,中研院歷史地名 ,113.2643,23.1335,中國-廣東省-廣州市-越秀區,交州刺史部,24,220,東漢,郡
passage73,蒼梧郡,PL000000032517,CN0450403Z20AA,中研院歷史地名 ,111.3167,23.4859,中國-廣西壯族自治區-梧州市-萬秀區,交州刺史部,24,220,東漢,郡
passage74,合浦郡,PL000000032762,CN0450722Z24AA,中研院歷史地名 ,109.4563,21.9329,中國-廣西壯族自治區-欽州市-浦北縣,交州刺史部,24,220,東漢,郡
passage75,鬱林郡,PL000000032876,CN0450881Z31AA,中研院歷史地名 ,109.9907,23.35,中國-廣西壯族自治區-貴港市-桂平市,交州刺史部,24,220,東漢,郡
passage76,巴郡,PL000000034085,CN0500105Z09AA,中研院歷史地名 ,106.5539,29.6071,中國-重慶市-市轄區-江北區,益州刺史部,24,220,東漢,郡
passage77,蜀郡,PL000000034781,CN0510108Z07AA,中研院歷史地名 ,104.0864,30.6501,中國-四川省-成都市-成華區,益州刺史部,24,220,東漢,郡
passage78,蜀郡屬國,PL000000035084,CN0510183Z38AA,中研院歷史地名 ,103.1224,30.2296,中國-四川省-成都市-邛崍市,益州刺史部,24,220,東漢,郡
passage79,廣漢郡,PL000000035351,CN0510681Z07AA,中研院歷史地名 ,104.2795,31.0231,中國-四川省-德陽市-廣漢市,益州刺史部,24,220,東漢,郡
passage80,犍為郡,PL000000036630,CN0511422Z13AA,中研院歷史地名 ,103.9289,30.1927,中國-四川省-眉山市-彭山縣,益州刺史部,24,220,東漢,郡
passage81,越嶲郡,PL000000037718,CN0513401Z22AA,中研院歷史地名 ,102.318,27.8858,中國-四川省-涼山彝族自治州-西昌市,益州刺史部,24,220,東漢,郡
passage82,益州郡,PL000000039164,CN0530122Z08AA,中研院歷史地名 ,102.7478,24.7129,中國-雲南省-昆明市-晉寧縣,益州刺史部,24,220,東漢,郡
passage83,永昌郡,PL000000039512,CN0530502Z08AA,中研院歷史地名 ,99.2638,25.2089,中國-雲南省-保山市-隆陽區,益州刺史部,24,220,東漢,郡
passage84,犍為屬國,PL000000039612,CN0530602Z17AA,中研院歷史地名 ,103.7234,27.3429,中國-雲南省-昭通市-昭陽區,益州刺史部,24,220,東漢,郡
passage85,京兆尹,PL000000042401,CN0610112Z15AA,中研院歷史地名 ,108.8534,34.306,中國-陝西省-西安市-未央區,司隸校尉部,24,220,東漢,郡
passage86,左馮翊,PL000000042701,CN0610126Z11AA,中研院歷史地名 ,109.0895,34.5329,中國-陝西省-西安市-高陵縣,司隸校尉部,24,220,東漢,郡
passage87,右扶風,PL000000043264,CN0610481Z11AA,中研院歷史地名 ,108.5046,34.2848,中國-陝西省-咸陽市-興平市,司隸校尉部,24,220,東漢,郡
passage88,漢中郡,PL000000043869,CN0610702Z28AA,中研院歷史地名 ,107.0439,33.0761,中國-陝西省-漢中市-漢台區,益州刺史部,24,220,東漢,郡
passage89,上郡,PL000000044082,CN0610802Z04AA,中研院歷史地名 ,109.8809,38.0074,中國-陝西省-榆林市-榆陽區,并州刺史部,24,220,東漢,郡
passage90,漢陽郡,PL000000044890,CN0620503Z03AA,中研院歷史地名 ,105.464,34.6989,中國-甘肅省-天水市-麥積區(**),涼州刺史部,24,220,東漢,郡
passage91,武威郡,PL000000045071,CN0620602Z29AA,中研院歷史地名 ,102.6438,37.9272,中國-甘肅省-武威市-涼州區,涼州刺史部,24,220,東漢,郡
passage92,張掖郡,PL000000045210,CN0620702Z26AA,中研院歷史地名 ,100.3781,39.0885,中國-甘肅省-張掖市-甘州區,涼州刺史部,24,220,東漢,郡
passage93,酒泉郡,PL000000045566,CN0620902Z16AA,中研院歷史地名 ,98.5203,39.7456,中國-甘肅省-酒泉市-肅州區,涼州刺史部,24,220,東漢,郡
passage94,敦煌郡,PL000000045787,CN0620982Z21AA,中研院歷史地名 ,94.5963,40.1461,中國-甘肅省-酒泉市-敦煌市,涼州刺史部,24,220,東漢,郡
passage95,安定郡,PL000000046064,CN0621027Z32AA,中研院歷史地名 ,107.3508,35.537,中國-甘肅省-慶陽市-鎮原縣,涼州刺史部,24,220,東漢,郡
passage96,隴西郡,PL000000046203,CN0621124Z29AA,中研院歷史地名 ,103.8668,35.3792,中國-甘肅省-定西市-臨洮縣,涼州刺史部,24,220,東漢,郡
passage97,武都郡,PL000000046321,CN0621221Z09AA,中研院歷史地名 ,105.6473,33.8043,中國-甘肅省-隴南市-成縣,涼州刺史部,24,220,東漢,郡
passage98,廣漢屬國,PL000000046364,CN0621222Z18AA,中研院歷史地名 ,104.6747,32.9368,中國-甘肅省-隴南市-文縣,益州刺史部,24,220,東漢,郡
passage99,金城郡,PL000000046584,CN0622923Z02AA,中研院歷史地名 ,103.0744,36.1717,中國-甘肅省-臨夏回族自治州-永靖縣,涼州刺史部,24,220,東漢,郡
passage100,北地郡,PL000000047192,CN0640300Z06AA,中研院歷史地名 ,106.105,37.929,中國-寧夏回族自治區-吳忠市,涼州刺史部,24,220,東漢,郡
passage101,樂浪郡,PL000000048593,Err:512,中研院歷史地名 ,125.7221,38.9596,北韓-平壤直轄市(Pyongyang)-락랑구역;樂浪區域(Rakrang-guyŏk),幽州刺史部,24,220,東漢,郡
