sequence,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,BEG_CHG_TY,END_YR,END_RULE,END_CHG_TY,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,FILENAME,X_Y_TYPE,SYS_ID_IN_MAIN_BOU_ID,SYS_ID_IN_MAIN_PT_ID
15097,221448,Jin Zhou,晋州,晉州,0,0,,Zhou,州,3,1072,4,辖区扩大,1115,4,更名,94238,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15098,221449,Pingyang Fu,平阳府,平陽府,0,0,,Fu,府,3,1167,4,辖区缩小,1217,4,更名,94239,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15099,221450,Geng Zhou,耿州,耿州,0,0,,Zhou,州,3,1167,4,辖区扩大,1189,4,更名,94240,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15100,221451,Bing Zhou,并州,并州,0,0,,Zhou,州,3,979,4,更名和辖区缩小,1057,4,更名,94241,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15101,221452,Taiyuan Fu,太原府,太原府,0,0,,Fu,府,3,1058,4,更名,1217,4,更名,94242,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15102,221453,Pingding Jun,平定军,平定軍,0,0,,Jun,军,3,979,4,新建,1073,4,辖区扩大,94243,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15103,221454,Pingding Zhou,平定州,平定州,0,0,,Zhou,州,3,1182,4,更名,1217,4,撤销,94244,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15104,221455,Pingding Zhou,平定军,平定軍,0,0,,Jun,军,3,1074,4,辖区扩大,1084,4,辖区缩小,94245,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15105,221456,Pingding Zhou,平定军,平定軍,0,0,,Jun,军,3,1085,4,新建,1181,4,辖区扩大,94246,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15106,221457,Liao Zhou,辽州,遼州,0,0,,Zhou,州,3,1085,4,新建,1127,4,更名,94247,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15107,221458,Nanliao Zhou,南辽州,南遼州,0,0,,Zhou,州,3,1128,4,更名,1150,4,更名,94248,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15108,221459,Handong Jun,汉东郡,漢東郡,0,0,,Jun,郡,3,607,4,更名,619,4,更名,34500,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15109,221460,Chang Zhou,昌州,昌州,0,0,,Zhou,州,3,620,4,更名,621,4,撤销,34506,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15110,221461,Sui Zhou,隋州,隋州,0,0,,Zhou,州,3,636,4,辖区扩大,741,4,更名,98002,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15111,221462,Sui Zhou,隋州,隋州,0,0,,Zhou,州,3,620,4,更名,635,4,辖区扩大,98003,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15112,221463,Tang Zhou,唐州,唐州,0,0,,Zhou,州,3,622,4,暂作,635,4,暂作,98004,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15113,221464,Handong Jun,汉东郡,漢東郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34498,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15114,221465,Sui Zhou,隋州,隋州,0,0,,Zhou,州,3,758,4,更名,906,4,更名,34497,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15115,221466,Sui Zhou,随州,隨州,0,0,,Zhou,州,3,907,4,更名,1218,4,辖区扩大,98007,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15116,221467,Ling Jun,舂陵郡,舂陵郡,0,0,,Jun,郡,3,607,4,更名,619,4,更名,34508,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15117,221468,Fangling Jun,房陵郡,房陵郡,0,0,,Jun,郡,3,607,4,更名,617,4,更名和辖区缩小,34486,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15118,221469,Qian Zhou,迁州,遷州,0,0,,Zhou,州,3,618,4,更名,623,4,辖区扩大,98010,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15119,221470,Fang Zhou,房州,房州,0,0,,Zhou,州,3,618,4,新建,635,4,更名,34483,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15120,221471,Qian Zhou,迁州,遷州,0,0,,Zhou,州,3,624,4,辖区扩大,635,4,撤销,98012,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
