fuzzy_nm,input_nm_trad,input_x_coord,input_year_beg,input_year_end,input_id,input_y_coord,input_dynasty,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
河陰,河陰,109.6796,24.0,220.0,PL000000006576,40.4847,东汉,not_found,False,False,False,False,,0
曼柏,曼柏,110.5498,24.0,220.0,PL000000006582,40.023,东汉,not_found,False,False,False,False,,0
沙南,沙南,111.3588,24.0,220.0,PL000000006597,40.0446,东汉,not_found,False,False,False,False,,0
美稷,美稷,110.8016,24.0,220.0,PL000000006601,39.7664,东汉,not_found,False,False,False,False,,0
廣衍,廣衍,110.5084,24.0,220.0,PL000000006609,39.4786,东汉,not_found,False,False,False,False,,0
楨林,楨林,110.583,24.0,220.0,PL000000006612,39.4061,东汉,not_found,False,False,False,False,,0
平定,平定,110.6029,24.0,220.0,PL000000006614,39.3448,东汉,not_found,False,False,False,False,,0
朔方,朔方,108.7221,24.0,220.0,PL000000006650,40.5757,东汉,not_found,False,False,False,False,,0
大城,大城,108.9699,24.0,220.0,PL000000006667,39.5725,东汉,not_found,False,False,False,False,,0
奢延,奢延,108.6219,24.0,220.0,PL000000006693,37.772,东汉,not_found,False,False,False,False,,0
沃野,沃野,107.1903,24.0,220.0,PL000000006787,40.6316,东汉,not_found,False,False,False,False,,0
三封,三封,106.5195,24.0,220.0,PL000000006796,40.4141,东汉,not_found,False,False,False,False,,0
臨戒,臨戒,107.0246,24.0,220.0,PL000000006799,40.4127,东汉,not_found,False,False,False,False,,0
廣牧,廣牧,108.2328,24.0,220.0,PL000000006814,40.8585,东汉,not_found,False,False,False,False,,0
西安,西安陽,109.0372,24.0,220.0,PL000000006821,40.6567,东汉,not_found,False,False,False,False,,0
西安,西安平,124.4773,24.0,220.0,PL000000007347,40.2123,东汉,not_found,False,False,False,False,,0
西安,西安,118.2043,24.0,220.0,PL000000020650,36.9489,东汉,not_found,False,False,False,False,,0
成宜,成宜,109.2684,24.0,220.0,PL000000006823,40.6553,东汉,not_found,False,False,False,False,,0
強陰,強陰,112.8198,24.0,220.0,PL000000006887,40.5117,东汉,not_found,False,False,False,False,,0
居延,居延,101.1532,24.0,220.0,PL000000007044,41.8684,东汉,not_found,False,False,False,False,,0
候城,候城,123.5678,24.0,220.0,PL000000007094,41.7399,东汉,not_found,False,False,False,False,,0
高句,高句驪,123.6386,24.0,220.0,PL000000007098,41.8097,东汉,not_found,False,False,False,False,,0
遼陽,遼陽,122.8946,24.0,220.0,PL000000007123,41.5121,东汉,not_found,False,False,False,False,,0
望平,望平,122.9107,24.0,220.0,PL000000007155,41.8221,东汉,not_found,False,False,False,False,,0
沓氏,沓氏,121.7098,24.0,220.0,PL000000007166,39.0233,东汉,not_found,False,False,False,False,,0
險瀆,險瀆,122.5378,24.0,220.0,PL000000007241,41.3482,东汉,not_found,False,False,False,False,,0
遼隊,遼隊,122.6432,24.0,220.0,PL000000007253,41.1425,东汉,not_found,False,False,False,False,,0
新昌,新昌,122.8773,24.0,220.0,PL000000007264,40.94,东汉,not_found,False,False,False,False,,0
安市,安市,122.7905,24.0,220.0,PL000000007270,40.7783,东汉,not_found,False,False,False,False,,0
徒河,徒河,121.1454,24.0,220.0,PL000000007415,41.1117,东汉,not_found,False,False,False,False,,0
昌黎,昌黎,121.2532,24.0,220.0,PL000000007461,41.5382,东汉,not_found,False,False,False,False,,0
陽樂,陽樂,120.9486,24.0,220.0,PL000000007467,41.5015,东汉,not_found,False,False,False,False,,0
賓徒,賓徒,121.1986,24.0,220.0,PL000000007499,41.2481,东汉,not_found,False,False,False,False,,0
