fuzzy_nm,tgaz_nm_trad,tgaz_beg,tgaz_prnt_py,tgaz_sys_id,tgaz_prnt_sysid,tgaz_type_ch,tgaz_y_coord,tgaz_pres_loc,tgaz_prnt_simp,tgaz_end,tgaz_prnt_id,tgaz_nm_py,tgaz_type_py,tgaz_nm_simp,tgaz_obj_type,tgaz_data_source,tgaz_x_coord,input_x_coord,input_id,input_y_coord,input_dynasty,input_nm_trad,input_year_beg,input_year_end,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
饒陽,饒陽水堡,1820.0,Yan'an Fu,hvd_19785,hvd_9657,村镇,37.07206,延安定边县西南饶阳,延安府,1820.0,2135,Raoyangshuibao,Cun Zhen,饶阳水堡,POINT,CHGIS,107.31093,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽鎮,1820.0,Linqing Zhou,hvd_20519,hvd_9670,村镇,37.31118,河北故城县西饶阳店,临清州,1820.0,2148,Raoyangzhen,Cun Zhen,饶阳镇,POINT,CHGIS,115.83076000000001,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,True,False,False,False,,1
饒陽,饒陽縣,554.0,Boling Jun,hvd_44890,hvd_88123,县,38.24599,今河北饶阳县驻地饶阳镇,博陵郡,1911.0,23118,Raoyang Xian,Xian,饶阳县,POINT,CHGIS,115.73602,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽縣,-202.0,Zhuo Jun,hvd_87355,hvd_87302,县,38.230540000000005,今河北饶阳县饶阳镇南故城村,涿郡,0.0,22498,Raoyang Xian,Xian,饶阳县,POINT,CHGIS,115.75053999999999,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,CAUTION__ZEROES,0
饒陽,饒陽郡,742.0,\N,hvd_115740,\N,郡,38.24599,,\N,757.0,\N,Raoyang Jun,Jun,饶阳郡,POINT,CHGIS,115.73602,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽縣,1911.0,Shen Zhou,hvd_121397,hvd_120146,县,38.24599,河北饶阳县治,深州,1911.0,33050,Raoyang Xian,Xian,饶阳县,POINT,CHGIS,115.73602,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽店,1911.0,Wucheng Xian,hvd_143922,hvd_122084,村镇,37.31118,河北故城县饶阳店,武城县,1911.0,34250,Raoyangdian,Cun Zhen,饶阳店,POINT,CHGIS,115.83076000000001,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,True,False,False,False,,1
饒陽,饒陽縣,1911.0,Shen Zhou,hvd_196605,hvd_195207,县,38.24599,,深州,1911.0,75505,Raoyang Xian,Xian,饶阳县,POLYGON,CHGIS,0.0,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,1820.0,Yi Zhou,hvd_14,hvd_9503,县,39.35402,河北涞源县,易州,1820.0,1993,Guangchang,Xian,广昌县,POINT,CHGIS,114.68876999999999,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,1820.0,Jianchang Fu,hvd_835,hvd_9647,县,26.836370000000002,江西广昌县,建昌府,1820.0,2125,Guangchang Xian,Xian,广昌县,POINT,CHGIS,116.31657,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
