input_id,input_nm_py,input_year_beg,input_year_end,input_x_coord,input_y_coord,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
PL000000002683,桑乾,24.0,220.0,114.6374,40.154,not_found,False,False,False,False,,0
PL000000002697,東安陽,24.0,220.0,114.3979,40.0326,not_found,False,False,False,False,,0
PL000000002706,馬城,24.0,220.0,114.3792,40.6722,not_found,False,False,False,False,,0
PL000000002731,寧縣,24.0,220.0,114.7447,40.8643,not_found,False,False,False,False,,0
PL000000002762,沮陽,24.0,220.0,115.7113,40.2813,not_found,False,False,False,False,,0
PL000000002796,下落,24.0,220.0,115.2247,40.3759,not_found,False,False,False,False,,0
PL000000002800,潘縣,24.0,220.0,115.1173,40.3234,not_found,False,False,False,False,,0
PL000000002809,涿鹿,24.0,220.0,115.3987,40.2109,not_found,False,False,False,False,,0
PL000000002904,俊靡,24.0,220.0,117.8652,40.2956,not_found,False,False,False,False,,0
PL000000003044,浮陽,24.0,220.0,117.0401,38.2373,not_found,False,False,False,False,,0
PL000000003053,成平,24.0,220.0,116.5704,38.2228,not_found,False,False,False,False,,0
PL000000003072,東平舒,24.0,220.0,116.8013,38.6796,not_found,False,False,False,False,,0
PL000000003093,東光,24.0,220.0,116.6611,37.8853,not_found,False,False,False,False,,0
PL000000003122,高城,24.0,220.0,117.3256,38.0064,not_found,False,False,False,False,,0
PL000000003148,武垣,24.0,220.0,115.9092,38.3832,not_found,False,False,False,False,,0
PL000000003162,南皮,24.0,220.0,116.7259,38.0857,not_found,False,False,False,False,,0
PL000000003187,中水,24.0,220.0,115.9963,38.2937,not_found,False,False,False,False,,0
PL000000003203,樂成,24.0,220.0,116.2067,38.1576,not_found,False,False,False,False,,0
PL000000003234,鄚縣,24.0,220.0,116.1348,38.8732,not_found,False,False,False,False,,0
PL000000015369,鄚縣,24.0,220.0,116.7305,33.608000000000004,not_found,False,False,False,False,,0
PL000000003266,章武,24.0,220.0,117.1091,38.542,not_found,False,False,False,False,,0
PL000000003345,安次,24.0,220.0,116.6518,39.5391,not_found,False,False,False,False,,0
PL000000003356,方城,24.0,220.0,116.2627,39.3804,not_found,False,False,False,False,,0
PL000000003392,束州,24.0,220.0,116.4551,38.5661,not_found,False,False,False,False,,0
PL000000003404,文安,24.0,220.0,116.5432,38.9626,not_found,False,False,False,False,,0
PL000000003440,潞縣,24.0,220.0,116.8201,39.931,not_found,False,False,False,False,,0
PL000000004346,潞縣,24.0,220.0,113.3557,36.4183,not_found,False,False,False,False,,0
PL000000003485,武邑,24.0,220.0,115.9003,37.8052,not_found,False,False,False,False,,0
PL000000003491,觀津,24.0,220.0,116.0361,37.7935,not_found,False,False,False,False,,0
PL000000003503,武遂,24.0,220.0,115.9079,38.1253,not_found,False,False,False,False,,0
PL000000003523,饒陽,24.0,220.0,115.8334,38.2956,not_found,False,False,False,False,,0
PL000000003548,安平,24.0,220.0,115.5202,38.2298,not_found,False,False,False,False,,0
PL000000003566,東武城,24.0,220.0,115.84100000000001,37.1986,not_found,False,False,False,False,,0
PL000000003575,弓高,24.0,220.0,116.1433,37.7646,not_found,False,False,False,False,,0
PL000000003598,脩縣,24.0,220.0,116.2663,37.6279,not_found,False,False,False,False,,0
PL000000003606,廣川,24.0,220.0,115.9161,37.5438,not_found,False,False,False,False,,0
PL000000003631,扶柳,24.0,220.0,115.4462,37.6387,not_found,False,False,False,False,,0
PL000000003637,堂陽,24.0,220.0,115.2383,37.5787,not_found,False,False,False,False,,0
PL000000003658,信都,24.0,220.0,115.5734,37.5652,not_found,False,False,False,False,,0
PL000000003687,下博,24.0,220.0,115.679,37.9416,not_found,False,False,False,False,,0
PL000000003701,鄡縣,24.0,220.0,115.4282,37.8685,not_found,False,False,False,False,,0
PL000000003755,狼孟,24.0,220.0,112.5782,37.9891,not_found,False,False,False,False,,0
PL000000003807,晉陽,24.0,220.0,112.4799,37.7513,not_found,False,False,False,False,,0
PL000000003852,盂縣,24.0,220.0,112.743,38.1739,not_found,False,False,False,False,,0
PL000000003910,平城,24.0,220.0,113.3515,40.1302,not_found,False,False,False,False,,0
PL000000003953,高柳,24.0,220.0,113.762,40.3532,not_found,False,False,False,False,,0
PL000000003961,道人,24.0,220.0,113.9853,40.115,not_found,False,False,False,False,,0
PL000000003963,狋氏,24.0,220.0,113.9444,39.9544,not_found,False,False,False,False,,0
PL000000003991,平舒,24.0,220.0,114.2242,39.7727,not_found,False,False,False,False,,0
PL000000004022,崞縣,24.0,220.0,113.6159,39.711,not_found,False,False,False,False,,0
PL000000004032,繁畤,24.0,220.0,113.51,39.6128,not_found,False,False,False,False,,0
PL000000004062,北平邑,24.0,220.0,113.6937,40.0247,not_found,False,False,False,False,,0
PL000000004088,上艾,24.0,220.0,113.6318,37.8014,not_found,False,False,False,False,,0
PL000000004143,壺關,24.0,220.0,113.0997,36.3341,not_found,False,False,False,False,,0
PL000000004174,襄垣,24.0,220.0,113.008,36.6492,not_found,False,False,False,False,,0
PL000000004207,屯留,24.0,220.0,112.9016,36.2524,not_found,False,False,False,False,,0
PL000000004254,長子,24.0,220.0,112.8407,36.1107,not_found,False,False,False,False,,0
PL000000004268,涅縣,24.0,220.0,112.6651,36.9545,not_found,False,False,False,False,,0
PL000000004304,銅鞮,24.0,220.0,112.6952,36.6041,not_found,False,False,False,False,,0
PL000000004375,高都,24.0,220.0,112.8484,35.5037,not_found,False,False,False,False,,0
PL000000004382,端氏,24.0,220.0,112.3564,35.747,not_found,False,False,False,False,,0
PL000000004410,陽阿,24.0,220.0,112.3159,35.5984,not_found,False,False,False,False,,0
PL000000004416,濩澤,24.0,220.0,112.2636,35.4978,not_found,False,False,False,False,,0
PL000000004496,泫氏,24.0,220.0,112.9289,35.7914,not_found,False,False,False,False,,0
PL000000004514,馬邑,24.0,220.0,112.4312,39.3076,not_found,False,False,False,False,,0
PL000000004518,陰館,24.0,220.0,112.7205,39.2393,not_found,False,False,False,False,,0
PL000000004546,中陵,24.0,220.0,112.2004,39.7672,not_found,False,False,False,False,,0
PL000000004577,劇陽,24.0,220.0,113.3051,39.6134,not_found,False,False,False,False,,0
PL000000004588,汪陶,24.0,220.0,113.1299,39.5525,not_found,False,False,False,False,,0
PL000000004624,善無,24.0,220.0,112.3867,39.9954,not_found,False,False,False,False,,0
PL000000004633,班氏,24.0,220.0,113.3798,39.8489,not_found,False,False,False,False,,0
PL000000004660,榆次,24.0,220.0,112.7542,37.6779,not_found,False,False,False,False,,0
PL000000004732,沾縣,24.0,220.0,113.4776,37.5035,not_found,False,False,False,False,,0
PL000000004762,陽邑,24.0,220.0,112.7749,37.4976,not_found,False,False,False,False,,0
PL000000004795,祁縣,24.0,220.0,112.3501,37.3335,not_found,False,False,False,False,,0
PL000000004815,京陵,24.0,220.0,112.2315,37.1962,not_found,False,False,False,False,,0
PL000000004820,中都,24.0,220.0,112.1248,37.1702,not_found,False,False,False,False,,0
PL000000004867,鄔縣,24.0,220.0,112.0413,37.0863,not_found,False,False,False,False,,0
PL000000004880,界休,24.0,220.0,111.9868,36.9901,not_found,False,False,False,False,,0
PL000000004943,解縣,24.0,220.0,110.6331,35.0746,not_found,False,False,False,False,,0
PL000000004948,猗氏,24.0,220.0,110.7654,35.0571,not_found,False,False,False,False,,0
PL000000004959,汾陰,24.0,220.0,110.5293,35.3785,not_found,False,False,False,False,,0
PL000000004999,聞喜,24.0,220.0,111.2264,35.3572,not_found,False,False,False,False,,0
PL000000005023,臨汾,24.0,220.0,111.3313,35.6973,not_found,False,False,False,False,,0
