fuzzy_nm,tgaz_prnt_py,tgaz_type_py,tgaz_x_coord,tgaz_beg,tgaz_pres_loc,tgaz_prnt_id,tgaz_end,tgaz_type_ch,tgaz_obj_type,tgaz_data_source,tgaz_nm_simp,tgaz_y_coord,tgaz_nm_py,tgaz_prnt_sysid,tgaz_sys_id,tgaz_nm_trad,tgaz_prnt_simp,input_nm_trad,input_dynasty,input_y_coord,input_x_coord,input_year_beg,input_year_end,input_id,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
東平,,,,,,,,,,,,,,,,,,東平陵,东汉,36.7617,117.4193,24.0,220.0,PL000000020426,not_found,False,False,False,False,,0
東平,,,,,,,,,,,,,,,,,,東平陸,东汉,35.8193,116.4878,24.0,220.0,PL000000021440,not_found,False,False,False,False,,0
東光,,,,,,,,,,,,,,,,,,東光,东汉,37.8853,116.6611,24.0,220.0,PL000000003093,not_found,False,False,False,False,,0
高城,,,,,,,,,,,,,,,,,,高城,东汉,38.0064,117.3256,24.0,220.0,PL000000003122,not_found,False,False,False,False,,0
武垣,,,,,,,,,,,,,,,,,,武垣,东汉,38.3832,115.9092,24.0,220.0,PL000000003148,not_found,False,False,False,False,,0
南皮,,,,,,,,,,,,,,,,,,南皮,东汉,38.0857,116.7259,24.0,220.0,PL000000003162,not_found,False,False,False,False,,0
中水,,,,,,,,,,,,,,,,,,中水,东汉,38.2937,115.9963,24.0,220.0,PL000000003187,not_found,False,False,False,False,,0
樂成,,,,,,,,,,,,,,,,,,樂成,东汉,38.1576,116.2067,24.0,220.0,PL000000003203,not_found,False,False,False,False,,0
鄚縣,,,,,,,,,,,,,,,,,,鄚縣,东汉,38.8732,116.1348,24.0,220.0,PL000000003234,not_found,False,False,False,False,,0
鄚縣,,,,,,,,,,,,,,,,,,鄚縣,东汉,33.608000000000004,116.7305,24.0,220.0,PL000000015369,not_found,False,False,False,False,,0
章武,,,,,,,,,,,,,,,,,,章武,东汉,38.542,117.1091,24.0,220.0,PL000000003266,not_found,False,False,False,False,,0
安次,,,,,,,,,,,,,,,,,,安次,东汉,39.5391,116.6518,24.0,220.0,PL000000003345,not_found,False,False,False,False,,0
方城,,,,,,,,,,,,,,,,,,方城,东汉,39.3804,116.2627,24.0,220.0,PL000000003356,not_found,False,False,False,False,,0
束州,,,,,,,,,,,,,,,,,,束州,东汉,38.5661,116.4551,24.0,220.0,PL000000003392,not_found,False,False,False,False,,0
文安,,,,,,,,,,,,,,,,,,文安,东汉,38.9626,116.5432,24.0,220.0,PL000000003404,not_found,False,False,False,False,,0
潞縣,,,,,,,,,,,,,,,,,,潞縣,东汉,39.931,116.8201,24.0,220.0,PL000000003440,not_found,False,False,False,False,,0
潞縣,,,,,,,,,,,,,,,,,,潞縣,东汉,36.4183,113.3557,24.0,220.0,PL000000004346,not_found,False,False,False,False,,0
武邑,,,,,,,,,,,,,,,,,,武邑,东汉,37.8052,115.9003,24.0,220.0,PL000000003485,not_found,False,False,False,False,,0
觀津,,,,,,,,,,,,,,,,,,觀津,东汉,37.7935,116.0361,24.0,220.0,PL000000003491,not_found,False,False,False,False,,0
武遂,,,,,,,,,,,,,,,,,,武遂,东汉,38.1253,115.9079,24.0,220.0,PL000000003503,not_found,False,False,False,False,,0
饒陽,,,,,,,,,,,,,,,,,,饒陽,东汉,38.2956,115.8334,24.0,220.0,PL000000003523,not_found,False,False,False,False,,0
安平,,,,,,,,,,,,,,,,,,安平,东汉,38.2298,115.5202,24.0,220.0,PL000000003548,not_found,False,False,False,False,,0
東武,,,,,,,,,,,,,,,,,,東武城,东汉,37.1986,115.84100000000001,24.0,220.0,PL000000003566,not_found,False,False,False,False,,0
東武,,,,,,,,,,,,,,,,,,東武,东汉,35.9922,119.4134,24.0,220.0,PL000000021153,not_found,False,False,False,False,,0
東武,,,,,,,,,,,,,,,,,,東武陽,东汉,36.1996,115.7205,24.0,220.0,PL000000022386,not_found,False,False,False,False,,0
弓高,,,,,,,,,,,,,,,,,,弓高,东汉,37.7646,116.1433,24.0,220.0,PL000000003575,not_found,False,False,False,False,,0
脩縣,,,,,,,,,,,,,,,,,,脩縣,东汉,37.6279,116.2663,24.0,220.0,PL000000003598,not_found,False,False,False,False,,0
廣川,,,,,,,,,,,,,,,,,,廣川,东汉,37.5438,115.9161,24.0,220.0,PL000000003606,not_found,False,False,False,False,,0
扶柳,,,,,,,,,,,,,,,,,,扶柳,东汉,37.6387,115.4462,24.0,220.0,PL000000003631,not_found,False,False,False,False,,0
堂陽,,,,,,,,,,,,,,,,,,堂陽,东汉,37.5787,115.2383,24.0,220.0,PL000000003637,not_found,False,False,False,False,,0
信都,,,,,,,,,,,,,,,,,,信都,东汉,37.5652,115.5734,24.0,220.0,PL000000003658,not_found,False,False,False,False,,0
下博,,,,,,,,,,,,,,,,,,下博,东汉,37.9416,115.679,24.0,220.0,PL000000003687,not_found,False,False,False,False,,0
鄡縣,,,,,,,,,,,,,,,,,,鄡縣,东汉,37.8685,115.4282,24.0,220.0,PL000000003701,not_found,False,False,False,False,,0
狼孟,,,,,,,,,,,,,,,,,,狼孟,东汉,37.9891,112.5782,24.0,220.0,PL000000003755,not_found,False,False,False,False,,0
晉陽,,,,,,,,,,,,,,,,,,晉陽,东汉,37.7513,112.4799,24.0,220.0,PL000000003807,not_found,False,False,False,False,,0
盂縣,,,,,,,,,,,,,,,,,,盂縣,东汉,38.1739,112.743,24.0,220.0,PL000000003852,not_found,False,False,False,False,,0
平城,,,,,,,,,,,,,,,,,,平城,东汉,40.1302,113.3515,24.0,220.0,PL000000003910,not_found,False,False,False,False,,0
高柳,,,,,,,,,,,,,,,,,,高柳,东汉,40.3532,113.762,24.0,220.0,PL000000003953,not_found,False,False,False,False,,0
道人,,,,,,,,,,,,,,,,,,道人,东汉,40.115,113.9853,24.0,220.0,PL000000003961,not_found,False,False,False,False,,0
狋氏,,,,,,,,,,,,,,,,,,狋氏,东汉,39.9544,113.9444,24.0,220.0,PL000000003963,not_found,False,False,False,False,,0
平舒,,,,,,,,,,,,,,,,,,平舒,东汉,39.7727,114.2242,24.0,220.0,PL000000003991,not_found,False,False,False,False,,0
崞縣,,,,,,,,,,,,,,,,,,崞縣,东汉,39.711,113.6159,24.0,220.0,PL000000004022,not_found,False,False,False,False,,0
繁畤,,,,,,,,,,,,,,,,,,繁畤,东汉,39.6128,113.51,24.0,220.0,PL000000004032,not_found,False,False,False,False,,0
上艾,,,,,,,,,,,,,,,,,,上艾,东汉,37.8014,113.6318,24.0,220.0,PL000000004088,not_found,False,False,False,False,,0
壺關,,,,,,,,,,,,,,,,,,壺關,东汉,36.3341,113.0997,24.0,220.0,PL000000004143,not_found,False,False,False,False,,0
襄垣,,,,,,,,,,,,,,,,,,襄垣,东汉,36.6492,113.008,24.0,220.0,PL000000004174,not_found,False,False,False,False,,0
屯留,,,,,,,,,,,,,,,,,,屯留,东汉,36.2524,112.9016,24.0,220.0,PL000000004207,not_found,False,False,False,False,,0
長子,,,,,,,,,,,,,,,,,,長子,东汉,36.1107,112.8407,24.0,220.0,PL000000004254,not_found,False,False,False,False,,0
涅縣,,,,,,,,,,,,,,,,,,涅縣,东汉,36.9545,112.6651,24.0,220.0,PL000000004268,not_found,False,False,False,False,,0
銅鞮,,,,,,,,,,,,,,,,,,銅鞮,东汉,36.6041,112.6952,24.0,220.0,PL000000004304,not_found,False,False,False,False,,0
高都,,,,,,,,,,,,,,,,,,高都,东汉,35.5037,112.8484,24.0,220.0,PL000000004375,not_found,False,False,False,False,,0
端氏,,,,,,,,,,,,,,,,,,端氏,东汉,35.747,112.3564,24.0,220.0,PL000000004382,not_found,False,False,False,False,,0
陽阿,,,,,,,,,,,,,,,,,,陽阿,东汉,35.5984,112.3159,24.0,220.0,PL000000004410,not_found,False,False,False,False,,0
濩澤,,,,,,,,,,,,,,,,,,濩澤,东汉,35.4978,112.2636,24.0,220.0,PL000000004416,not_found,False,False,False,False,,0
泫氏,,,,,,,,,,,,,,,,,,泫氏,东汉,35.7914,112.9289,24.0,220.0,PL000000004496,not_found,False,False,False,False,,0
馬邑,,,,,,,,,,,,,,,,,,馬邑,东汉,39.3076,112.4312,24.0,220.0,PL000000004514,not_found,False,False,False,False,,0
陰館,,,,,,,,,,,,,,,,,,陰館,东汉,39.2393,112.7205,24.0,220.0,PL000000004518,not_found,False,False,False,False,,0
中陵,,,,,,,,,,,,,,,,,,中陵,东汉,39.7672,112.2004,24.0,220.0,PL000000004546,not_found,False,False,False,False,,0
劇陽,,,,,,,,,,,,,,,,,,劇陽,东汉,39.6134,113.3051,24.0,220.0,PL000000004577,not_found,False,False,False,False,,0
汪陶,,,,,,,,,,,,,,,,,,汪陶,东汉,39.5525,113.1299,24.0,220.0,PL000000004588,not_found,False,False,False,False,,0
善無,,,,,,,,,,,,,,,,,,善無,东汉,39.9954,112.3867,24.0,220.0,PL000000004624,not_found,False,False,False,False,,0
