fuzzy_nm,tgaz_sys_id,tgaz_nm_py,tgaz_nm_simp,tgaz_nm_trad,tgaz_beg,tgaz_end,tgaz_data_source,tgaz_obj_type,tgaz_pres_loc,tgaz_prnt_id,tgaz_prnt_py,tgaz_prnt_simp,tgaz_prnt_sysid,tgaz_type_ch,tgaz_type_py,tgaz_x_coord,tgaz_y_coord,input_id,input_nm_trad,input_year_beg,input_year_end,input_dynasty,input_prnt,input_x_coord,input_y_coord,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
曲陽,hvd_128084,Quyangping,曲阳坪,曲陽坪,1911.0,1911.0,CHGIS,POINT,湖北南漳县渠阳坪,33468,Nanzhang Xian,南漳县,hvd_121148,村镇,Cun Zhen,111.81773999999999,31.49113,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_133637,Quyangji,曲阳集,曲陽集,1911.0,1911.0,CHGIS,POINT,河北正定县曲阳桥,33737,Zhengding Xian,正定县,hvd_121418,村镇,Cun Zhen,114.48518999999999,38.23109,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_196627,Quyang Xian,曲阳县,曲陽縣,1911.0,1911.0,CHGIS,POLYGON,,75508,Ding Zhou,定州,hvd_195210,县,Xian,0.0,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
武邑,hvd_7,Wuyi,武邑县,武邑縣,1820.0,1820.0,CHGIS,POINT,河北武邑县,1991,Ji Zhou,冀州,hvd_9501,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
武邑,hvd_44885,Wuyi Xian,武邑县,武邑縣,1077.0,1911.0,CHGIS,POINT,今河北武邑县驻地武邑镇,23087,Ji Zhou,冀州,hvd_88069,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
武邑,hvd_87204,Wuyi Xian,武邑县,武邑縣,-221.0,13.0,CHGIS,POINT,今河北武邑县武邑镇,22241,Julu Jun,巨鹿郡,hvd_87037,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
武邑,hvd_87206,Wuyi Xian,武邑县,武邑縣,23.0,0.0,CHGIS,POINT,今河北武邑县武邑镇,22742,Xindou Jun,信都郡,hvd_87559,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,ERROR__END_BEFORE_BEG,0
武邑,hvd_88093,Wuyi Xian,武邑县,武邑縣,586.0,1062.0,CHGIS,POINT,今河北武邑县驻地武邑镇,31322,Ji Zhou,冀州,hvd_112897,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
武邑,hvd_121454,Wuyi Xian,武邑县,武邑縣,1911.0,1911.0,CHGIS,POINT,河北武邑县治,33057,Ji Zhou,冀州,hvd_120153,县,Xian,115.89066000000001,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
武邑,hvd_196604,Wuyi Xian,武邑县,武邑縣,1911.0,1911.0,CHGIS,POLYGON,,75504,Ji Zhou,冀州,hvd_195206,县,Xian,0.0,37.80599,PL000000003485,武邑,24.0,220.0,东汉,冀州刺史部,115.9003,37.8052,found,False,False,False,False,,0
南宮,hvd_8,Nangong,南宫县,南宮縣,1820.0,1820.0,CHGIS,POINT,河北南宫市,1991,Ji Zhou,冀州,hvd_9501,县,Xian,115.38006999999999,37.35915,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,,0
南宮,hvd_44880,Nangong Xian,南宫县,南宮縣,1480.0,1911.0,CHGIS,POINT,今河北南宫市驻地,23090,Ji Zhou,冀州,hvd_88072,县,Xian,115.38006999999999,37.35915,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,,0
南宮,hvd_87207,Nangong Xian,南宫县,南宮縣,-221.0,13.0,CHGIS,POINT,今河北南宫市西北旧城村,22241,Julu Jun,巨鹿郡,hvd_87037,县,Xian,115.367,37.365629999999996,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,,0
南宮,hvd_87209,Nangong Xian,南宫县,南宮縣,23.0,264.0,CHGIS,POINT,今河北南宫市西北旧城村,22742,Xindou Jun,信都郡,hvd_87559,县,Xian,115.367,37.365629999999996,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,incoming_nested_in_target,0
南宮,hvd_88082,Nangong Xian,南宫县,南宮縣,586.0,1479.0,CHGIS,POINT,今河北南宫市西旧城村,31322,Ji Zhou,冀州,hvd_112897,县,Xian,115.367,37.365629999999996,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,,0
南宮,hvd_121451,Nangong Xian,南宫县,南宮縣,1911.0,1911.0,CHGIS,POINT,河北南宫市治,33057,Ji Zhou,冀州,hvd_120153,县,Xian,115.38006999999999,37.35915,PL000000002080,南宮,24.0,220.0,东汉,冀州刺史部,115.3501,37.3778,found,False,False,False,False,,0
